"Start.station.number","Start.station","bikes.rented"
31301,"Ward Circle / American University",0
31302,"Wisconsin Ave & Newark St NW",30
31303,"Tenleytown / Wisconsin Ave & Albemarle St NW",27
31304,"36th & Calvert St NW / Glover Park",16
31305,"Connecticut Ave & Newark St NW / Cleveland Park",17
31306,"39th & Calvert St NW / Stoddert",17
31307,"3000 Connecticut Ave NW / National Zoo",19
31308,"39th & Veazey St NW",21
31309,"Fessenden St & Wisconsin Ave NW",3
31310,"Connecticut & Nebraska Ave NW",13
31312,"Wisconsin Ave & O St NW",23
31313,"Connecticut Ave & Tilden St NW",10
31314,"34th & Water St NW",24
31315,"McKinley St & Connecticut Ave NW",5
31316,"Yuma St & Tenley Circle NW",9
31317,"Wisconsin Ave & Ingomar St NW",3
31318,"Connecticut Ave & Yuma St NW",1
31400,"Georgia & New Hampshire Ave NW",43
31401,"14th St & Spring Rd NW",34
31402,"14th St Heights / 14th & Crittenden St NW",6
31403,"5th & Kennedy St NW",6
31404,"9th & Upshur St NW",15
31405,"Georgia Ave & Emerson St NW",6
31406,"14th & Upshur St NW",10
31407,"14th St & Colorado Ave NW",12
31408,"Takoma Metro",29
31411,"Georgia & Missouri Ave NW",4
31500,"4th & W St NE",10
31501,"12th & Newton St NE",3
31502,"John McCormack Dr & Michigan Ave NE",11
31503,"Florida Ave & R St NW",28
31504,"10th & Monroe St NE",9
31505,"Eckington Pl & Q St NE",29
31506,"1st & Rhode Island Ave NW",50
31507,"1st & Washington Hospital Center NW",15
31508,"Gallaudet / 8th St & Florida Ave NE",8
31509,"New Jersey Ave & R St NW",27
31510,"18th St & Rhode Island Ave NE",1
31511,"12th & Irving St NE",2
31512,"Neal St & Trinidad Ave NE",15
31513,"Rhode Island Ave & V St NE",26
31514,"Hamlin & 7th St NE",4
31515,"Fort Totten Metro",1
31516,"Rhode Island Ave Metro",11
31517,"Union Market/6th St & Neal Pl NE",12
31518,"New York Ave & Hecht Ave NE",8
31519,"1st & O St NW",14
31600,"5th & K St NW",100
31601,"19th & East Capitol St SE",12
31602,"Park Rd & Holmead Pl NW",65
31603,"1st & M St NE",91
31604,"3rd & H St NW",30
31605,"3rd & D St SE",35
31606,"Potomac & Pennsylvania Ave SE",17
31607,"14th & D St SE",27
31608,"8th & Eye St SE / Barracks Row",27
31609,"6th & Water St SW / SW Waterfront",24
